# GPU Energy Model Calibration — Sweep Data
# Reference: Delestrac et al. ASAP 2024, Section V-B
# GPU: NVIDIA A100-SXM4-80GB (SAMPLE DATA)
# Memory level: dram
# Operation: load
# Stride (bytes): 32
# Access granularity (bytes): 32
# Threads per block: 1024
# Thread blocks: 4
# Kernel iterations: 200
# Runs per point: 5
# Array size (bytes): 52428800
#
# Linear regression results:
#   slope (ε_MEM)        = 0.0000000021 J/access  = 2090.255 pJ/access  = 2.090255 nJ/access
#   intercept (Δ_MEM)   = 39.939927 J
#   R²                  = 0.982589
#
n_accesses,avg_dynamic_energy_j,std_dynamic_energy_j,min_dynamic_energy_j,max_dynamic_energy_j,avg_warmup_energy_j,avg_total_energy_j,avg_static_power_w,avg_kernel_duration_s,energy_per_access_pj,linreg_predicted_j,residual_j,n_valid_runs
100000000,40.01715486,0.50315086,39.18558504,40.38307111,18.00000000,80.01715486,55.0000,0.533448,400171.5486,40.14895228,-0.13179742,5
119603316,40.22944736,0.38927372,39.92635314,40.75080645,18.00000000,80.22944736,55.0000,0.534863,336357.2910,40.18992822,0.03951915,5
143049534,40.13313066,0.39785238,39.56581903,40.63514022,18.00000000,80.13313066,55.0000,0.534221,280554.0817,40.23893680,-0.10580614,5
171091987,40.48309433,0.25958223,40.20503434,40.90717895,18.00000000,80.48309433,55.0000,0.536554,236615.9575,40.29755268,0.18554165,5
204631692,40.49972199,0.53251142,39.84025558,41.13151461,18.00000000,80.49972199,55.0000,0.536665,197915.1987,40.36765923,0.13206276,5
244746291,40.33417314,0.36752111,39.67801654,40.52436257,18.00000000,80.33417314,55.0000,0.535561,164799.9362,40.45150898,-0.11733584,5
292724682,41.05422974,0.45105928,40.45634862,41.70810561,18.00000000,81.05422974,55.0000,0.540362,140248.6099,40.55179606,0.50243368,5
350108429,40.79725980,0.64273728,39.88553980,41.68102942,18.00000000,80.79725980,55.0000,0.538648,116527.4995,40.67174274,0.12551706,5
418741294,40.24870226,0.68528130,39.60890359,41.39952845,18.00000000,80.24870226,55.0000,0.534991,96118.3023,40.81520295,-0.56650069,5
500828477,40.77578941,0.36812553,40.47363077,41.34766176,18.00000000,80.77578941,55.0000,0.538505,81416.6751,40.98678612,-0.21099671,5
599007471,41.22293425,0.45003243,40.76031549,41.90419389,18.00000000,81.22293425,55.0000,0.541486,68818.7314,41.19200527,0.03092897,5
716432804,41.41808236,0.49911731,40.89588157,42.20679483,18.00000000,81.41808236,55.0000,0.542787,57811.5381,41.43745420,-0.01937183,5
856877397,41.92432590,0.29334915,41.52583784,42.22697351,18.00000000,81.92432590,55.0000,0.546162,48926.8664,41.73101925,0.19330665,5
1024853789,42.25556340,0.38070309,41.96454424,42.91475079,18.00000000,82.25556340,55.0000,0.548370,41230.8213,42.08213278,0.17343062,5
1225759125,42.30591854,0.53497934,41.59060446,42.91223226,18.00000000,82.30591854,55.0000,0.548706,34514.0556,42.50207622,-0.19615768,5
1466048571,42.92534263,0.63331982,42.37442908,43.61108290,18.00000000,82.92534263,55.0000,0.552836,29279.6183,43.00434250,-0.07899987,5
1753442718,43.85730432,0.54849663,43.14147513,44.45001965,18.00000000,83.85730432,55.0000,0.559049,25012.1112,43.60506963,0.25223470,5
2097175651,43.92463352,0.58246091,43.33301922,44.81355929,18.00000000,83.92463352,55.0000,0.559498,20944.6612,44.32355920,-0.39892568,5
2508291640,45.23327790,0.29189485,44.82063505,45.61794044,18.00000000,85.23327790,55.0000,0.568222,18033.5002,45.18289656,0.05038134,5
3000000000,46.35122784,0.41149826,45.98591807,46.98757085,18.00000000,86.35122784,55.0000,0.575675,15450.4093,46.21069255,0.14053529,5
