# GPU Energy Model Calibration — Sweep Data
# Reference: Delestrac et al. ASAP 2024, Section V-B
# GPU: NVIDIA A100-SXM4-80GB (SAMPLE DATA)
# Memory level: l1
# Operation: load
# Stride (bytes): 32
# Access granularity (bytes): 32
# Threads per block: 1024
# Thread blocks: 4
# Kernel iterations: 200
# Runs per point: 5
# Array size (bytes): 153600
#
# Linear regression results:
#   slope (ε_MEM)        = 0.0000000001 J/access  = 146.848 pJ/access  = 0.146848 nJ/access
#   intercept (Δ_MEM)   = 19.989694 J
#   R²                  = 0.628426
#
n_accesses,avg_dynamic_energy_j,std_dynamic_energy_j,min_dynamic_energy_j,max_dynamic_energy_j,avg_warmup_energy_j,avg_total_energy_j,avg_static_power_w,avg_kernel_duration_s,energy_per_access_pj,linreg_predicted_j,residual_j,n_valid_runs
15000000,20.00861767,0.09043350,19.96010481,20.17009461,9.00000000,40.00861767,55.0000,0.266724,1333907.8449,19.99189718,0.01672049,5
19824310,19.92850797,0.17032427,19.64271827,20.08188606,9.00000000,39.92850797,55.0000,0.266190,1005256.0702,19.99260562,-0.06409765,5
26200220,20.07119758,0.16932121,19.82558140,20.28209665,9.00000000,40.07119758,55.0000,0.267141,766069.8108,19.99354190,0.07765567,5
34626754,20.02665784,0.19999040,19.76014098,20.31842275,9.00000000,40.02665784,55.0000,0.266844,578357.9320,19.99477932,0.03187852,5
45763436,20.01112480,0.22433045,19.65596041,20.21456506,9.00000000,40.01112480,55.0000,0.266741,437273.2152,19.99641471,0.01471008,5
60481905,20.00903023,0.17445202,19.73921178,20.19429075,9.00000000,40.00903023,55.0000,0.266727,330826.7196,19.99857609,0.01045414,5
79934140,19.76418053,0.28176037,19.37949715,20.14499144,9.00000000,39.76418053,55.0000,0.265095,247255.8100,20.00143260,-0.23725207,5
105642617,20.01929365,0.25219064,19.71856046,20.22166553,9.00000000,40.01929365,55.0000,0.266795,189500.1678,20.00520783,0.01408582,5
139619472,20.07216566,0.11397720,19.94435065,20.21155876,9.00000000,40.07216566,55.0000,0.267148,143763.3689,20.01019724,0.06196842,5
184523989,20.02618091,0.15559627,19.84740504,20.17588560,9.00000000,40.02618091,55.0000,0.266841,108528.8749,20.01679136,0.00938955,5
243870729,20.08836912,0.30216385,19.82920741,20.58740658,9.00000000,40.08836912,55.0000,0.267256,82373.0228,20.02550629,0.06286283,5
322304611,20.15146999,0.22776570,19.77030193,20.37631901,9.00000000,40.15146999,55.0000,0.267676,62523.0583,20.03702411,0.11444588,5
425964456,20.06146285,0.27525091,19.70328978,20.38868111,9.00000000,40.06146285,55.0000,0.267076,47096.5654,20.05224630,0.00921654,5
562963455,20.02418307,0.19632351,19.71271072,20.23443184,9.00000000,40.02418307,55.0000,0.266828,35569.2415,20.07236427,-0.04818120,5
744024172,20.19290561,0.28743945,19.93277158,20.63896633,9.00000000,40.19290561,55.0000,0.267953,27140.1204,20.09895260,0.09395301,5
983317769,20.11645308,0.18978618,19.90458560,20.33496298,9.00000000,40.11645308,55.0000,0.267443,20457.7337,20.13409228,-0.01763919,5
1299573147,19.92113579,0.14442197,19.69407316,20.06808640,9.00000000,39.92113579,55.0000,0.266141,15328.9839,20.18053361,-0.25939781,5
1717542810,20.28163390,0.11347336,20.17930432,20.47284751,9.00000000,40.28163390,55.0000,0.268544,11808.5172,20.24191143,0.03972247,5
2269940182,20.34705659,0.20925310,19.99731047,20.50638306,9.00000000,40.34705659,55.0000,0.268980,8963.6973,20.32302963,0.02402695,5
3000000000,20.47571467,0.23076461,20.23348729,20.79726757,9.00000000,40.47571467,55.0000,0.269838,6825.2382,20.43023713,0.04547753,5
