# GPU Energy Model Calibration — Sweep Data
# Reference: Delestrac et al. ASAP 2024, Section V-B
# GPU: NVIDIA A100-SXM4-80GB (SAMPLE DATA)
# Memory level: dram
# Operation: store
# Stride (bytes): 32
# Access granularity (bytes): 32
# Threads per block: 1024
# Thread blocks: 4
# Kernel iterations: 200
# Runs per point: 5
# Array size (bytes): 52428800
#
# Linear regression results:
#   slope (ε_MEM)        = 0.0000000025 J/access  = 2451.953 pJ/access  = 2.451953 nJ/access
#   intercept (Δ_MEM)   = 43.988594 J
#   R²                  = 0.990431
#
n_accesses,avg_dynamic_energy_j,std_dynamic_energy_j,min_dynamic_energy_j,max_dynamic_energy_j,avg_warmup_energy_j,avg_total_energy_j,avg_static_power_w,avg_kernel_duration_s,energy_per_access_pj,linreg_predicted_j,residual_j,n_valid_runs
100000000,44.33295549,0.50127893,43.70279185,44.99170381,19.80000000,88.33295549,55.0000,0.588886,443329.5549,44.23378950,0.09916599,5
119603316,44.61189119,0.16736759,44.41746722,44.78143032,19.80000000,88.61189119,55.0000,0.590746,372998.7820,44.28185591,0.33003528,5
143049534,44.36550558,0.35074431,43.82649137,44.80451961,19.80000000,88.36550558,55.0000,0.589103,310140.8605,44.33934493,0.02616064,5
171091987,44.40234582,0.61264695,43.40590452,45.07104515,19.80000000,88.40234582,55.0000,0.589349,259523.2342,44.40810371,-0.00575789,5
204631692,44.22866069,0.50751921,43.73960141,44.98871289,19.80000000,88.22866069,55.0000,0.588191,216137.8829,44.49034149,-0.26168080,5
244746291,44.55812895,0.43339181,43.85884289,44.92892171,19.80000000,88.55812895,55.0000,0.590388,182058.4441,44.58870060,-0.03057165,5
292724682,44.77539582,0.45715453,44.35926484,45.27422344,19.80000000,88.77539582,55.0000,0.591836,152960.7805,44.70634136,0.06905446,5
350108429,44.81611021,0.58504142,43.97129253,45.48348167,19.80000000,88.81611021,55.0000,0.592107,128006.3732,44.84704362,-0.03093341,5
418741294,44.84668467,0.69453667,43.74262894,45.59837523,19.80000000,88.84668467,55.0000,0.592311,107098.7870,45.01532818,-0.16864350,5
500828477,45.38345937,0.43534398,44.99649985,45.96190349,19.80000000,89.38345937,55.0000,0.595890,90616.7709,45.21660209,0.16685727,5
599007471,45.59474928,0.62102722,44.73021611,46.19612604,19.80000000,89.59474928,55.0000,0.597298,76117.1629,45.45733237,0.13741690,5
716432804,45.97358280,0.83616974,45.12611989,46.86840283,19.80000000,89.97358280,55.0000,0.599824,64170.1253,45.74525377,0.22832902,5
856877397,46.03119328,0.47286301,45.56037775,46.66685652,19.80000000,90.03119328,55.0000,0.600208,53719.6960,46.08961732,-0.05842403,5
1024853789,46.40464121,0.97420675,45.62963429,47.58836972,19.80000000,90.40464121,55.0000,0.602698,45279.2795,46.50148754,-0.09684633,5
1225759125,46.45957709,0.56882847,45.49971296,46.82521756,19.80000000,90.45957709,55.0000,0.603064,37902.6973,46.99409799,-0.53452089,5
1466048571,47.48318979,0.76311533,46.68350676,48.56152301,19.80000000,91.48318979,55.0000,0.609888,32388.5516,47.58327642,-0.10008663,5
1753442718,48.46889500,0.53503439,48.01041284,49.34891773,19.80000000,92.46889500,55.0000,0.616459,27642.1320,48.28795336,0.18094163,5
2097175651,48.87145953,0.38573402,48.26580913,49.23193497,19.80000000,92.87145953,55.0000,0.619143,23303.4651,49.13077037,-0.25931084,5
2508291640,50.15507514,0.64804721,49.37970515,51.08853879,19.80000000,94.15507514,55.0000,0.627701,19995.7112,50.13880746,0.01626768,5
3000000000,51.63700036,0.83555438,50.75870860,52.72215812,19.80000000,95.63700036,55.0000,0.637580,17212.3335,51.34445326,0.29254710,5
