# GPU Energy Model Calibration — Sweep Data
# Reference: Delestrac et al. ASAP 2024, Section V-B
# GPU: NVIDIA A100-SXM4-80GB (SAMPLE DATA)
# Memory level: l1
# Operation: store
# Stride (bytes): 32
# Access granularity (bytes): 32
# Threads per block: 1024
# Thread blocks: 4
# Kernel iterations: 200
# Runs per point: 5
# Array size (bytes): 153600
#
# Linear regression results:
#   slope (ε_MEM)        = 0.0000000001 J/access  = 126.789 pJ/access  = 0.126789 nJ/access
#   intercept (Δ_MEM)   = 22.043788 J
#   R²                  = 0.625743
#
n_accesses,avg_dynamic_energy_j,std_dynamic_energy_j,min_dynamic_energy_j,max_dynamic_energy_j,avg_warmup_energy_j,avg_total_energy_j,avg_static_power_w,avg_kernel_duration_s,energy_per_access_pj,linreg_predicted_j,residual_j,n_valid_runs
15000000,21.99722102,0.26770266,21.70390978,22.42244822,9.90000000,43.99722102,55.0000,0.293315,1466481.4013,22.04568944,-0.04846842,5
19824310,22.06916762,0.39599413,21.37513851,22.37823679,9.90000000,44.06916762,55.0000,0.293794,1113237.6166,22.04630111,0.02286651,5
26200220,22.06136962,0.25523534,21.83756889,22.45865666,9.90000000,44.06136962,55.0000,0.293742,842029.9380,22.04710950,0.01426012,5
34626754,21.95506514,0.24015934,21.72565858,22.36383986,9.90000000,43.95506514,55.0000,0.293034,634049.1847,22.04817790,-0.09311276,5
45763436,21.93971834,0.24820917,21.67784466,22.23938105,9.90000000,43.93971834,55.0000,0.292931,479415.8886,22.04958991,-0.10987157,5
60481905,22.14634380,0.36097472,21.66326124,22.61046903,9.90000000,44.14634380,55.0000,0.294309,366164.7861,22.05145605,0.09488776,5
79934140,22.07620110,0.34075224,21.56587177,22.47090819,9.90000000,44.07620110,55.0000,0.293841,276179.8789,22.05392238,0.02227872,5
105642617,22.13808282,0.20301285,21.87519719,22.41808936,9.90000000,44.13808282,55.0000,0.294254,209556.3652,22.05718193,0.08090089,5
139619472,22.02588083,0.32579649,21.68739653,22.55094011,9.90000000,44.02588083,55.0000,0.293506,157756.5115,22.06148983,-0.03560899,5
184523989,21.99315269,0.24384145,21.60805275,22.24044631,9.90000000,43.99315269,55.0000,0.293288,119188.5825,22.06718323,-0.07403054,5
243870729,22.09669655,0.24749043,21.73464130,22.41281619,9.90000000,44.09669655,55.0000,0.293978,90608.2360,22.07470775,0.02198881,5
322304611,22.13022511,0.18359915,21.85443437,22.33939612,9.90000000,44.13022511,55.0000,0.294202,68662.4527,22.08465231,0.04557280,5
425964456,22.29407162,0.21335693,22.11688445,22.62208508,9.90000000,44.29407162,55.0000,0.295294,52337.8684,22.09779525,0.19627638,5
562963455,22.17183268,0.17924054,21.99086402,22.46192752,9.90000000,44.17183268,55.0000,0.294479,39384.1420,22.11516523,0.05666745,5
744024172,22.06423430,0.28928890,21.63380447,22.40850120,9.90000000,44.06423430,55.0000,0.293762,29655.2654,22.13812175,-0.07388744,5
983317769,22.14185873,0.21910352,21.85682598,22.35217916,9.90000000,44.14185873,55.0000,0.294279,22517.5009,22.16846156,-0.02660283,5
1299573147,22.05259326,0.19663018,21.76548413,22.28029519,9.90000000,44.05259326,55.0000,0.293684,16969.1051,22.20855930,-0.15596604,5
1717542810,22.30981811,0.15496872,22.05732384,22.48180819,9.90000000,44.30981811,55.0000,0.295399,12989.3811,22.26155329,0.04826483,5
2269940182,22.28319614,0.40666360,21.78131514,22.88502148,9.90000000,44.28319614,55.0000,0.295221,9816.6446,22.33159125,-0.04839511,5
3000000000,22.48613431,0.24200460,22.28679526,22.87943973,9.90000000,44.48613431,55.0000,0.296574,7495.3781,22.42415486,0.06197945,5
