# GPU Energy Model Calibration -- Sweep Data
# Reference: Delestrac et al. ASAP 2024, Section V-B
# GPU: NVIDIA RTX 5000 Ada Generation
# Memory level: l2
# Operation: load
# Stride (bytes): 32
# Access granularity (bytes): 32
# Threads per block: 1024
# Thread blocks: 4
# Kernel iterations: 200
# Runs per point: 5
# Array size (bytes): 256000
#
# Linear regression:
#   slope  (e_MEM) = 0.0000000000 J/access = 0.0000 pJ/access
#   intercept (D_MEM) = 0.000000 J
#   R-squared = 0.000000
#
n_accesses,avg_dynamic_energy_j,std_dynamic_energy_j,min_dynamic_energy_j,max_dynamic_energy_j,avg_warmup_energy_j,avg_total_energy_j,avg_static_power_w,avg_kernel_duration_s,energy_per_access_pj,linreg_predicted_j,residual_j,n_valid_runs
106496000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,59.4168,0.001046,0.0000,0.00000000,0.00000000,5
122880000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,59.7237,0.001053,0.0000,0.00000000,0.00000000,5
155648000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,59.4063,0.001050,0.0000,0.00000000,0.00000000,5
188416000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,59.2673,0.001044,0.0000,0.00000000,0.00000000,5
229376000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,59.3984,0.001228,0.0000,0.00000000,0.00000000,5
286720000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,59.7792,0.001048,0.0000,0.00000000,0.00000000,5
344064000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,59.7340,0.001078,0.0000,0.00000000,0.00000000,5
425984000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,59.7118,0.001055,0.0000,0.00000000,0.00000000,5
524288000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,59.5712,0.001095,0.0000,0.00000000,0.00000000,5
638976000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,59.2376,0.001092,0.0000,0.00000000,0.00000000,5
786432000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,59.1790,0.001268,0.0000,0.00000000,0.00000000,5
966656000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,59.4815,0.001149,0.0000,0.00000000,0.00000000,5
1187840000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,59.3006,0.001177,0.0000,0.00000000,0.00000000,5
1458176000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,59.2700,0.001190,0.0000,0.00000000,0.00000000,5
1794048000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,59.3073,0.001243,0.0000,0.00000000,0.00000000,5
2195456000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,59.1389,0.001256,0.0000,0.00000000,0.00000000,5
2703360000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,59.2951,0.001337,0.0000,0.00000000,0.00000000,5
3317760000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,59.5704,0.001386,0.0000,0.00000000,0.00000000,5
4071424000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,59.3161,0.001497,0.0000,0.00000000,0.00000000,5
5005312000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,58.8924,0.001598,0.0000,0.00000000,0.00000000,5
