# GPU Energy Model Calibration -- Sweep Data
# Reference: Delestrac et al. ASAP 2024, Section V-B
# GPU: NVIDIA RTX 5000 Ada Generation
# Memory level: shared
# Operation: load
# Stride (bytes): 32
# Access granularity (bytes): 32
# Threads per block: 1024
# Thread blocks: 4
# Kernel iterations: 200
# Runs per point: 5
# Array size (bytes): 49152
#
# Linear regression:
#   slope  (e_MEM) = 0.0000000000 J/access = 0.0000 pJ/access
#   intercept (D_MEM) = 0.000000 J
#   R-squared = 0.000000
#
n_accesses,avg_dynamic_energy_j,std_dynamic_energy_j,min_dynamic_energy_j,max_dynamic_energy_j,avg_warmup_energy_j,avg_total_energy_j,avg_static_power_w,avg_kernel_duration_s,energy_per_access_pj,linreg_predicted_j,residual_j,n_valid_runs
15728640,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,63.8782,0.000263,0.0000,0.00000000,0.00000000,5
20447232,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,61.5183,0.000254,0.0000,0.00000000,0.00000000,5
26738688,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,61.4057,0.000264,0.0000,0.00000000,0.00000000,5
36175872,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,61.0359,0.000246,0.0000,0.00000000,0.00000000,5
47185920,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,60.9718,0.000276,0.0000,0.00000000,0.00000000,5
61341696,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,60.4775,0.000256,0.0000,0.00000000,0.00000000,5
80216064,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,60.5638,0.000268,0.0000,0.00000000,0.00000000,5
106954752,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,60.6439,0.000267,0.0000,0.00000000,0.00000000,5
139984896,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,60.1189,0.000262,0.0000,0.00000000,0.00000000,5
185597952,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,60.1933,0.000274,0.0000,0.00000000,0.00000000,5
245366784,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,59.6403,0.000294,0.0000,0.00000000,0.00000000,5
322437120,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,59.5861,0.000285,0.0000,0.00000000,0.00000000,5
426246144,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,59.0830,0.000307,0.0000,0.00000000,0.00000000,5
563085312,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,59.0454,0.000321,0.0000,0.00000000,0.00000000,5
745537536,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,58.6446,0.000358,0.0000,0.00000000,0.00000000,5
984612864,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,58.4786,0.000385,0.0000,0.00000000,0.00000000,5
1300758528,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,58.4507,0.000437,0.0000,0.00000000,0.00000000,5
1717567488,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,58.0611,0.000482,0.0000,0.00000000,0.00000000,5
2271215616,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,58.1127,0.000563,0.0000,0.00000000,0.00000000,5
3001024512,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,57.7490,0.000663,0.0000,0.00000000,0.00000000,5
