# GPU Energy Model Calibration -- Sweep Data
# Reference: Delestrac et al. ASAP 2024, Section V-B
# GPU: SYNTHETIC
# Memory level: l1
# Operation: store
# Stride (bytes): 32
# Access granularity (bytes): 32
# Threads per block: 1024
# Thread blocks: 4
# Kernel iterations: 200
# Runs per point: 5
# Array size (bytes): 153600
#
# Linear regression:
#   slope  (e_MEM) = 0.0000000001 J/access = 142.0431 pJ/access
#   intercept (D_MEM) = 20.027828 J
#   R-squared = 0.720707
#
n_accesses,avg_dynamic_energy_j,std_dynamic_energy_j,min_dynamic_energy_j,max_dynamic_energy_j,avg_warmup_energy_j,avg_total_energy_j,avg_static_power_w,avg_kernel_duration_s,energy_per_access_pj,linreg_predicted_j,residual_j,n_valid_runs
19660800,20.08330806,0.12056860,19.92680914,20.20584287,9.00000000,40.08330806,30.0000,0.501041,1021489.8711,20.03062112,0.05268694,5
24576000,19.93389240,0.11545657,19.77078775,20.06963291,9.00000000,39.93389240,30.0000,0.499174,811112.1582,20.03131929,-0.09742689,5
29491200,19.98190348,0.12426340,19.85420032,20.12664973,9.00000000,39.98190348,30.0000,0.499774,677554.7783,20.03201746,-0.05011398,5
39321600,20.13050694,0.15162699,19.93401944,20.29590693,9.00000000,40.13050694,30.0000,0.501631,511945.2652,20.03341380,0.09709314,5
49152000,20.18946112,0.06355068,20.10147453,20.27072568,9.00000000,40.18946112,30.0000,0.502368,410755.6381,20.03481014,0.15465099,5
63897600,19.99549455,0.18277332,19.84279456,20.28396786,9.00000000,39.99549455,30.0000,0.499944,312930.2908,20.03690465,-0.04141010,5
83558400,19.94424377,0.13886859,19.81397686,20.12673750,9.00000000,39.94424377,30.0000,0.499303,238686.2813,20.03969733,-0.09545356,5
108134400,20.20578846,0.07524008,20.09795679,20.30689565,9.00000000,40.20578846,30.0000,0.502572,186858.0993,20.04318818,0.16260028,5
142540800,20.01885368,0.04355449,19.95627887,20.06677565,9.00000000,40.01885368,30.0000,0.500236,140442.9726,20.04807537,-0.02922170,5
186777600,20.06309968,0.11795585,19.97431782,20.25664175,9.00000000,40.06309968,30.0000,0.500789,107417.0547,20.05435890,0.00874078,5
245760000,20.03106975,0.24646581,19.75080679,20.29342568,9.00000000,40.03106975,30.0000,0.500388,81506.6315,20.06273695,-0.03166720,5
324403200,20.00118450,0.27194934,19.73930307,20.33989892,9.00000000,40.00118450,30.0000,0.500015,61655.3243,20.07390767,-0.07272317,5
427622400,20.04441610,0.18430908,19.80715376,20.30225239,9.00000000,40.04441610,30.0000,0.500555,46874.1022,20.08856925,-0.04415315,5
565248000,20.15550335,0.13915243,19.94910835,20.32962655,9.00000000,40.15550335,30.0000,0.501944,35657.8057,20.10811801,0.04738534,5
747110400,20.13541362,0.25845212,19.83029811,20.37277927,9.00000000,40.13541362,30.0000,0.501693,26951.0552,20.13395031,0.00146331,5
987955200,20.11825880,0.22289141,19.84444518,20.41489023,9.00000000,40.11825880,30.0000,0.501478,20363.5335,20.16816065,-0.04990185,5
1302528000,20.16093671,0.13650440,20.03501603,20.32350865,9.00000000,40.16093671,30.0000,0.502012,15478.3135,20.21284355,-0.05190684,5
1720320000,20.27854018,0.17663865,20.04303462,20.48324326,9.00000000,40.27854018,30.0000,0.503482,11787.6559,20.27218802,0.00635216,5
2270822400,20.32822485,0.24398234,19.98485556,20.55794889,9.00000000,40.32822485,30.0000,0.504103,8951.9219,20.35038309,-0.02215823,5
3003187200,20.50957418,0.06403921,20.44027751,20.57532658,9.00000000,40.50957418,30.0000,0.506370,6829.2693,20.45441045,0.05516373,5
