# GPU Energy Model Calibration -- Sweep Data
# Reference: Delestrac et al. ASAP 2024, Section V-B
# GPU: NVIDIA RTX 5000 Ada Generation
# Memory level: l2
# Operation: store
# Stride (bytes): 32
# Access granularity (bytes): 32
# Threads per block: 1024
# Thread blocks: 4
# Kernel iterations: 200
# Runs per point: 5
# Array size (bytes): 256000
#
# Linear regression:
#   slope  (e_MEM) = 0.0000000000 J/access = 0.0000 pJ/access
#   intercept (D_MEM) = 0.000000 J
#   R-squared = 0.000000
#
n_accesses,avg_dynamic_energy_j,std_dynamic_energy_j,min_dynamic_energy_j,max_dynamic_energy_j,avg_warmup_energy_j,avg_total_energy_j,avg_static_power_w,avg_kernel_duration_s,energy_per_access_pj,linreg_predicted_j,residual_j,n_valid_runs
106496000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,58.8290,0.001036,0.0000,0.00000000,0.00000000,5
122880000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,58.6246,0.001034,0.0000,0.00000000,0.00000000,5
155648000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,58.3900,0.001038,0.0000,0.00000000,0.00000000,5
188416000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,58.5829,0.001027,0.0000,0.00000000,0.00000000,5
229376000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,58.5818,0.001035,0.0000,0.00000000,0.00000000,5
286720000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,58.6293,0.001034,0.0000,0.00000000,0.00000000,5
344064000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,58.2621,0.001053,0.0000,0.00000000,0.00000000,5
425984000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,58.0795,0.001049,0.0000,0.00000000,0.00000000,5
524288000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,58.3372,0.001072,0.0000,0.00000000,0.00000000,5
638976000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,58.0263,0.001078,0.0000,0.00000000,0.00000000,5
786432000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,58.2727,0.001106,0.0000,0.00000000,0.00000000,5
966656000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,58.0553,0.001134,0.0000,0.00000000,0.00000000,5
1187840000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,58.2148,0.001179,0.0000,0.00000000,0.00000000,5
1458176000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,58.6194,0.001202,0.0000,0.00000000,0.00000000,5
1794048000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,58.4239,0.001226,0.0000,0.00000000,0.00000000,5
2195456000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,58.1542,0.001259,0.0000,0.00000000,0.00000000,5
2703360000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,58.1907,0.001327,0.0000,0.00000000,0.00000000,5
3317760000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,58.2551,0.001411,0.0000,0.00000000,0.00000000,5
4071424000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,58.6240,0.001485,0.0000,0.00000000,0.00000000,5
5005312000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,58.4427,0.001580,0.0000,0.00000000,0.00000000,5
