# GPU Energy Model Calibration -- Sweep Data
# Reference: Delestrac et al. ASAP 2024, Section V-B
# GPU: NVIDIA RTX 5000 Ada Generation
# Memory level: shared
# Operation: store
# Stride (bytes): 32
# Access granularity (bytes): 32
# Threads per block: 1024
# Thread blocks: 4
# Kernel iterations: 200
# Runs per point: 5
# Array size (bytes): 49152
#
# Linear regression:
#   slope  (e_MEM) = 0.0000000000 J/access = 0.0000 pJ/access
#   intercept (D_MEM) = 0.000000 J
#   R-squared = 0.000000
#
n_accesses,avg_dynamic_energy_j,std_dynamic_energy_j,min_dynamic_energy_j,max_dynamic_energy_j,avg_warmup_energy_j,avg_total_energy_j,avg_static_power_w,avg_kernel_duration_s,energy_per_access_pj,linreg_predicted_j,residual_j,n_valid_runs
15728640,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,57.4672,0.000248,0.0000,0.00000000,0.00000000,5
20447232,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,57.9181,0.000250,0.0000,0.00000000,0.00000000,5
26738688,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,57.1665,0.000237,0.0000,0.00000000,0.00000000,5
36175872,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,56.7642,0.000256,0.0000,0.00000000,0.00000000,5
47185920,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,57.1649,0.000262,0.0000,0.00000000,0.00000000,5
61341696,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,57.6768,0.000265,0.0000,0.00000000,0.00000000,5
80216064,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,57.4381,0.000316,0.0000,0.00000000,0.00000000,5
106954752,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,57.2355,0.000287,0.0000,0.00000000,0.00000000,5
139984896,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,57.8282,0.000281,0.0000,0.00000000,0.00000000,5
185597952,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,57.4616,0.000335,0.0000,0.00000000,0.00000000,5
245366784,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,57.2510,0.000306,0.0000,0.00000000,0.00000000,5
322437120,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,57.1027,0.000338,0.0000,0.00000000,0.00000000,5
426246144,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,56.9290,0.000381,0.0000,0.00000000,0.00000000,5
563085312,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,57.1340,0.000443,0.0000,0.00000000,0.00000000,5
745537536,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,57.4569,0.000506,0.0000,0.00000000,0.00000000,5
984612864,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,57.6737,0.000640,0.0000,0.00000000,0.00000000,5
1300758528,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,57.0045,0.000739,0.0000,0.00000000,0.00000000,5
1717567488,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,57.5004,0.000929,0.0000,0.00000000,0.00000000,5
2271215616,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,57.1679,0.001185,0.0000,0.00000000,0.00000000,5
3001024512,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,57.3952,0.001555,0.0000,0.00000000,0.00000000,5
