Memory,Stride,ThreadsPerBlock,EnergyPerAccess
L1,1,1,1.061674e+03
L1,1,32,5.955390e+01
L1,1,128,4.968515e+01
L1,1,512,4.757354e+01
L1,1,1024,4.858289e+01
L1,4,1,9.548721e+02
L1,4,32,7.306759e+01
L1,4,128,6.640942e+01
L1,4,512,7.464378e+01
L1,4,1024,7.393418e+01
L1,16,1,1.003640e+03
L1,16,32,1.602680e+02
L1,16,128,1.289255e+02
L1,16,512,1.463397e+02
L1,16,1024,1.322428e+02
L2,1,1,4.902655e+03
L2,1,32,1.570529e+02
L2,1,128,7.864742e+01
L2,1,512,6.086623e+01
L2,1,1024,6.184923e+01
L2,4,1,4.012760e+03
L2,4,32,1.771812e+02
L2,4,128,1.033477e+02
L2,4,512,7.889226e+01
L2,4,1024,7.429962e+01
L2,16,1,3.920496e+03
L2,16,32,2.396773e+02
L2,16,128,1.584712e+02
L2,16,512,1.493499e+02
L2,16,1024,1.489586e+02
DRAM,1,1,1.228029e+02
DRAM,1,32,1.696962e+02
DRAM,1,128,6.964486e+01
DRAM,1,512,5.635972e+01
DRAM,1,1024,6.162577e+01
DRAM,4,1,2.416852e+03
DRAM,4,32,1.510353e+02
DRAM,4,128,1.047163e+02
DRAM,4,512,8.224078e+01
DRAM,4,1024,7.966907e+01
DRAM,16,1,5.376724e+02
DRAM,16,32,1.932510e+02
DRAM,16,128,1.611442e+02
DRAM,16,512,1.323432e+02
DRAM,16,1024,1.574721e+02
