Memory,Stride,ThreadsPerBlock,EnergyPerAccess
DRAM,16,1024,1.568572e+02
DRAM,16,1024,1.527531e+02
DRAM,16,1024,1.471595e+02
DRAM,16,1024,1.491389e+02
DRAM,16,1024,1.477524e+02
DRAM,16,1024,1.529866e+02
DRAM,16,1024,1.357226e+02
DRAM,16,1024,1.502315e+02
DRAM,16,1024,1.377396e+02
DRAM,16,1024,1.395774e+02
DRAM,16,1024,1.439745e+02
DRAM,16,1024,1.511310e+02
DRAM,16,1024,1.425646e+02
DRAM,16,1024,1.411044e+02
DRAM,16,1024,1.528877e+02
DRAM,16,1024,1.419576e+02
DRAM,16,1024,1.367657e+02
DRAM,16,1024,1.442280e+02
DRAM,16,1024,1.378501e+02
DRAM,16,1024,1.525137e+02
DRAM,16,1024,1.510347e+02
DRAM,16,1024,1.473611e+02
DRAM,16,1024,1.499331e+02
DRAM,16,1024,1.546960e+02
DRAM,16,1024,1.569579e+02
DRAM,16,1024,1.524323e+02
DRAM,16,1024,1.400084e+02
DRAM,16,1024,1.579646e+02
DRAM,16,1024,1.594335e+02
DRAM,16,1024,1.452461e+02
DRAM,16,1024,1.444054e+02
DRAM,16,1024,1.463978e+02
DRAM,16,1024,1.397868e+02
DRAM,16,1024,1.474332e+02
DRAM,16,1024,1.535876e+02
DRAM,16,1024,1.525122e+02
DRAM,16,1024,1.575288e+02
DRAM,16,1024,1.523930e+02
DRAM,16,1024,1.564520e+02
