# GPU Cache Size Identification
# Method: pointer-chasing miss-rate sweep (Section V-A)
# Reference: Delestrac et al. ASAP 2024
# GPU: NVIDIA RTX 5000 Ada Generation
# Stride (bytes): 128
#
# Detected boundaries (miss_rate >= 50%):
#   L1 cache size estimate : 825728 bytes  (806.4 KB  /  0.787 MB)
#   L2 cache size estimate : 98370688 bytes  (96065.1 KB  /  93.814 MB)
#
array_size_bytes,array_size_kb,array_size_mb,l1_miss_rate_pct,l2_miss_rate_pct,l1_hit_rate_pct,l2_hit_rate_pct,memory_region
1024,1.000,0.000977,0.00,0.00,100.00,100.00,L1_range
1664,1.625,0.001587,0.00,0.00,100.00,100.00,L1_range
2688,2.625,0.002563,0.00,0.00,100.00,100.00,L1_range
4352,4.250,0.004150,0.00,0.00,100.00,100.00,L1_range
7040,6.875,0.006714,0.00,0.00,100.00,100.00,L1_range
11264,11.000,0.010742,0.00,0.00,100.00,100.00,L1_range
18048,17.625,0.017212,0.00,0.00,100.00,100.00,L1_range
29184,28.500,0.027832,0.00,0.00,100.00,100.00,L1_range
46976,45.875,0.044800,0.00,0.00,100.00,100.00,L1_range
75648,73.875,0.072144,0.00,0.00,100.00,100.00,L1_range
122112,119.250,0.116455,0.00,0.00,100.00,100.00,L1_range
196864,192.250,0.187744,0.00,0.00,100.00,100.00,L1_range
317440,310.000,0.302734,0.07,0.00,99.93,100.00,L1_range
512000,500.000,0.488281,41.53,0.00,58.47,100.00,L1_range
825728,806.375,0.787476,99.86,0.00,0.14,100.00,L2_range
1331712,1300.500,1.270020,100.00,0.00,0.00,100.00,L2_range
2147968,2097.625,2.048462,100.00,0.00,0.00,100.00,L2_range
3464320,3383.125,3.303833,100.00,0.00,0.00,100.00,L2_range
5587584,5456.625,5.328735,100.00,0.00,0.00,100.00,L2_range
9012224,8801.000,8.594727,100.00,0.00,0.00,100.00,L2_range
14535808,14195.125,13.862427,100.00,0.00,0.00,100.00,L2_range
23444736,22895.250,22.358643,100.00,0.00,0.00,100.00,L2_range
37814016,36927.750,36.062256,100.00,0.03,0.00,99.97,L2_range
60990080,59560.625,58.164673,100.00,20.11,0.00,79.89,L2_range
98370688,96065.125,93.813599,100.00,99.60,0.00,0.40,DRAM_range
158661888,154943.250,151.311768,100.00,100.00,0.00,0.00,DRAM_range
255905280,249907.500,244.050293,100.00,100.00,0.00,0.00,DRAM_range
412749056,403075.250,393.628174,100.00,100.00,0.00,0.00,DRAM_range
665722112,650119.250,634.882080,100.00,100.00,0.00,0.00,DRAM_range
1073741824,1048576.000,1024.000000,100.00,100.00,0.00,0.00,DRAM_range
